0,0,255,Blue
0,255,0,Green
255,0,0,Red
0,255,255,Cyan
255,0,255,Magenta
255,255,0,Yellow
255,153,204,Pink
255,102,0,Orange
153,0,204,Purple
204,102,51,Red Brown
51,0,204,Deep Blue
0,153,51,Grass Green
153,0,0,Ruby Red
102,102,255,Electric Blue
153,153,51,Olive
51,102,153,Desert Blue
204,102,204,Violet
0,102,51,Forest Green
255,204,0,Deep Yellow
153,153,102,Khaki
102,255,204,Turquoise
204,51,102,Regal Red
153,102,51,Brown
255,102,153,Deep Pink
51,153,102,Kentucky Green
255,153,51,Light Orange
51,204,153,Sea Green
255,255,102,Light Yellow
0,51,153,Navy Blue
153,255,0,Chartreuse
51,51,0,Murky Green
204,153,51,Gold
153,51,102,Crimson
102,102,204,Twilight Blue
255,255,153,Chalk
153,204,204,Light BlueGreen
102,153,102,Army Green
102,51,51,Dark Brown
255,153,255,Light Violet
0,0,102,Deep Navy Blue
102,51,153,Grape
204,51,153,Deep Rose
255,204,204,Faded Pink
255,153,102,Peach
153,204,51,Martian Green
102,153,153,Ocean Green
255,204,153,Sand
204,102,255,Light Purple
102,153,255,Baby Blue
204,51,0,Brick Red
255,102,102,Tropical Pink
153,0,153,Deep Violet
51,204,102,Light Green
0,51,51,Dark Green
255,153,153,Soft Pink
102,51,255,Deep Azure
153,102,153,Dusty Plum
255,102,51,Autumn Orange
255,255,204,Pale Yellow
0,204,255,Sky Blue
153,204,102,Dull Green
255,51,153,Hot Pink
51,0,153,Storm Blue
204,102,153,Dusty Rose
102,0,102,Plum
153,255,153,Mint Green
102,153,51,Avocado Green
102,0,204,Deep River
204,204,255,Powder Blue
255,0,102,Neon Red
204,153,204,Pale Purple
102,102,51,Olive Drab
153,51,204,Majestic Purple
204,255,204,Ghost Green
51,204,51,Spring Green
204,51,255,Neon Purple
102,51,0,Walnut
153,102,204,Twilight Violet
51,102,102,Moss Green
204,153,255,Easter Purple
51,0,102,Deep Purple
153,153,255,Pastel Blue
204,204,51,Banana Yellow
153,255,255,Ice Blue
153,204,153,Faded Green
153,102,255,Blue Violet
204,255,102,Moon Green
153,0,255,Blue Purple
255,255,255,White
0,0,0,Black
